locality,latitude,longitude,sample_count,time_start_bp,time_end_bp,time_mean_bp,time_label,datasets,sample_ids
"Frälsegården (Västra Götalands län, Falköping, Falbygden)",58.1644,13.4547,54,3859,5336,4598,3859-5336 BP,"1240k,ho",FRA002.SG;FRA003.SG;FRA005.SG;FRA006.SG;FRA007.SG;FRA010.SG;FRA011.SG;FRA012.SG;FRA013.SG;FRA014.SG;FRA015.SG;FRA020.SG;FRA021.SG;FRA022.SG;FRA023.SG;FRA024.SG;FRA025.SG;FRA026.SG;FRA027.SG;FRA028.SG;FRA029.SG;FRA030.SG;FRA031.SG;FRA032.SG;FRA034.SG;FRA034_alt1.SG;FRA034_alt2.SG;FRA034_d.SG;FRA035.SG;FRA037.SG;FRA038.SG;FRA039.SG;FRA040.SG;FRA041.SG;FRA042.SG;FRA043.SG;FRA101.SG;FRA102.SG;FRA103.SG;FRA104.SG;FRA105.SG;FRA106.SG;FRA107.SG;FRA108.SG;FRA201.SG;FRA202.SG;FRA301.SG;FRA302.SG;Gok4.SG;NEO259.SG;fra001.SG;fra004.SG;fra009.SG;gok020.SG
Oland,56.8792364,16.7212765,32,763,1766,1264,763-1766 BP,"1240k,ho",VK332.SG;VK333.SG;VK334.SG;VK335.SG;VK336.SG;VK337.SG;VK342.SG;VK343.SG;VK343_d.SG;VK344.SG;VK344_d.SG;VK345.SG;VK346.SG;VK347.SG;VK349.SG;VK350.SG;VK352.SG;VK353.SG;VK354.SG;VK355.SG;VK357.SG;VK358.SG;VK359.SG;VK379.SG;VK380.SG;VK382.SG;VK442.SG;VK443.SG;VK444.SG;VK522.SG;VK533.SG;VK579.SG
"Varnhem (Västra Götalands län, Skara)",58.38,13.65,31,726,1074,900,726-1074 BP,"1240k,ho",VK29.SG;VK30.SG;VK303.SG;VK304.SG;VK306.SG;VK308.SG;VK309.SG;VK31.SG;VK33.SG;VK34.SG;VK35.SG;VK39.SG;VK395.SG;VK396.SG;VK397.SG;VK398.SG;VK399.SG;VK40.SG;VK400.SG;VK401.SG;VK402.SG;VK403.SG;VK404.SG;VK405.SG;VK406.SG;VK407.SG;VK42.SG;VK424.SG;VK425.SG;VK426.SG;VK427.SG
"Frojel (Gotlands län, Gotland)",57.34,18.19,29,889,1061,975,889-1061 BP,"1240k,ho",VK428.SG;VK429.SG;VK430.SG;VK431.SG;VK432.SG;VK433.SG;VK434.SG;VK435.SG;VK437.SG;VK438.SG;VK439.SG;VK440.SG;VK441.SG;VK455.SG;VK456.SG;VK457.SG;VK458.SG;VK459.SG;VK460.SG;VK461.SG;VK462.SG;VK463.SG;VK464.SG;VK56.SG;VK57.SG;VK58.SG;VK60.SG;VK63.SG;VK64.SG
"Rössberga (Götaland, Västergötland)",58.183333,13.65,26,4488,5412,4950,4488-5412 BP,"1240k,ho",ROS001.SG;ROS002.SG;ROS003.SG;ROS004.SG;ROS005_Sweden.SG;ROS007.SG;ROS008_Sweden.SG;ROS014.SG;ROS016.SG;ROS018.SG;ROS021.SG;ROS023.SG;ROS024.SG;ROS025_Sweden.SG;ROS026.SG;ROS027.SG;ROS029.SG;ROS030.SG;ROS032.SG;ROS033.SG;ROS036.SG;ROS038.SG;ROS039.SG;ros005_renamed.SG;ros012.SG;ros3.SG
"Kopparsvik (Gotlands län, Gotland)",57.63,18.28,22,889,1061,975,889-1061 BP,"1240k,ho",VK232.SG;VK251.SG;VK450.SG;VK452.SG;VK453.SG;VK454.SG;VK467.SG;VK468.SG;VK469.SG;VK471.SG;VK472.SG;VK473.SG;VK474.SG;VK475.SG;VK476.SG;VK477.SG;VK478.SG;VK479.SG;VK48.SG;VK50.SG;VK51.SG;VK53.SG
Albäcksbacken Maglarp (Southern Sweden/ Skåne),55.37774,13.095066,15,788,4853,2820,788-4853 BP,"1240k,ho",CGG_2_105920.SG;CGG_2_105922.SG;CGG_2_105923.SG;CGG_2_105925.SG;CGG_2_105926.SG;CGG_2_105928.SG;CGG_2_105930.SG;CGG_2_105932.SG;CGG_2_105934.SG;CGG_2_105935.SG;CGG_2_105936.SG;CGG_2_105938.SG;CGG_2_105939.SG;CGG_2_105941.SG;CGG_2_105942.SG
"Hjelmars rör (Västra Götalands län, Falköping, Falbygden)",58.1697,13.578,15,4815,5335,5075,4815-5335 BP,"1240k,ho",CGG105976.SG;CGG105983.SG;HJE001.SG;HJE002.SG;HJE003.SG;HJE004.SG;HJE005.SG;HJE006.SG;HJE007.SG;HJE008.SG;HJE009.SG;HJE010.SG;HJE011.SG;HJE012.SG;HJE014.SG
"Västerbjers (Gotland, Gothem parish)",57.58,18.7,15,4383,5043,4713,4383-5043 BP,"1240k,ho",vbj001.SG;vbj002.SG;vbj003.SG;vbj004.SG;vbj006.SG;vbj006_d.SG;vbj007.SG;vbj008.SG;vbj008_d.SG;vbj012.SG;vbj013.SG;vbj014.SG;vbj015.SG;vbj017.SG;vbj018.SG
"Kronan (Kalmar län, Mörbylånga)",56.4,16.6,12,274,274,274,274 BP,"1240k,ho",kro001.SG;kro002.SG;kro004.SG;kro006.SG;kro008_viking.SG;kro009_viking.SG;kro010.SG;kro011.SG;kro012.SG;kro013.SG;kro014.SG;kro015.SG
"Landbogården (Västra Götalands län, Falköping, Falbygden)",58.1775,13.4344,11,1699,5354,3526,1699-5354 BP,"1240k,ho",CGG106001.SG;CGG_2_105989.SG;LAN001_Sweden.SG;LAN002.SG;LAN003.SG;LAN004.SG;LAN005.SG;LAN006.SG;LAN007.SG;LAN008.SG;LAN009.SG
"Sigtuna, church 1 (St  Gertrud)",59.617314,17.72361,9,684,1110,897,684-1110 BP,"1240k,ho",vik_grt035.SG;vik_grt036.SG;vik_stg020.SG;vik_stg021.SG;vik_stg026.SG;vik_urm035.SG;vik_urm045.SG;vik_urm160.SG;vik_urm161.SG
"Falköping-5 (Västra Götalands län, Falköping)",58.166,13.573,8,3587,4009,3798,3587-4009 BP,"1240k,ho",NEO220.SG;NEO221.SG;NEO223.SG;NEO224.SG;NEO225.SG;NEO226.SG;NEO227.SG;NEO228.SG
"Kanaljorden (Östergötlands län, Motala)",58.535,15.046,8,7448,7868,7658,7448-7868 BP,"1240k,ho",I0011.AG;I0012.AG;I0013.AG;I0014.AG;I0015.AG;I0017.AG;I0017.SG;MotalaAA.AG
