species_latin_name,species_common_name,project_accession,repo_stable_sample_id,preferred_sample_label,sample_basis,sample_evidence_status,sample_identity_resolution,sample_ambiguity_note,chronology_text,chronology_strength,chronology_evidence_class,chronology_precision_posture,chronology_provenance_path,chronology_provenance_kind,chronology_provenance_locator,chronology_provenance_text,chronology_normalization_status,time_start_bp,time_end_bp,time_mean_bp,dating_basis,chronology_conflict_note,review_note
Bos taurus,cattle,PRJNA705960,prjna705960:samn18106827,SAMN18106827,archive_project_sample_accession_anchor,archive_native,final,,Neolithic to later Galician cattle sequence,project_context_interval,archaeological_context_date,contextual_interval,adna/governance/source_library/projects/PRJNA705960/archive_metadata.html,archive_metadata_description,source description snapshot,"We sampled 18 cattle subfossils from different ages and different mountain caves in Galicia, of which 11 were subject to sequencing of the mitochondrial genome and phylogenetic analysis.",normalized_interval,1500,7000,4250,archaeological_period_assignment,,Chronology falls back to the current project-level context row.
Bos taurus,cattle,PRJNA705960,prjna705960:samn18106828,SAMN18106828,archive_project_sample_accession_anchor,archive_native,final,,Neolithic to later Galician cattle sequence,project_context_interval,archaeological_context_date,contextual_interval,adna/governance/source_library/projects/PRJNA705960/archive_metadata.html,archive_metadata_description,source description snapshot,"We sampled 18 cattle subfossils from different ages and different mountain caves in Galicia, of which 11 were subject to sequencing of the mitochondrial genome and phylogenetic analysis.",normalized_interval,1500,7000,4250,archaeological_period_assignment,,Chronology falls back to the current project-level context row.
Bos taurus,cattle,PRJNA705960,prjna705960:samn18106829,SAMN18106829,archive_project_sample_accession_anchor,archive_native,final,,Neolithic to later Galician cattle sequence,project_context_interval,archaeological_context_date,contextual_interval,adna/governance/source_library/projects/PRJNA705960/archive_metadata.html,archive_metadata_description,source description snapshot,"We sampled 18 cattle subfossils from different ages and different mountain caves in Galicia, of which 11 were subject to sequencing of the mitochondrial genome and phylogenetic analysis.",normalized_interval,1500,7000,4250,archaeological_period_assignment,,Chronology falls back to the current project-level context row.
Bos taurus,cattle,PRJNA705960,prjna705960:samn18106830,SAMN18106830,archive_project_sample_accession_anchor,archive_native,final,,Neolithic to later Galician cattle sequence,project_context_interval,archaeological_context_date,contextual_interval,adna/governance/source_library/projects/PRJNA705960/archive_metadata.html,archive_metadata_description,source description snapshot,"We sampled 18 cattle subfossils from different ages and different mountain caves in Galicia, of which 11 were subject to sequencing of the mitochondrial genome and phylogenetic analysis.",normalized_interval,1500,7000,4250,archaeological_period_assignment,,Chronology falls back to the current project-level context row.
Bos taurus,cattle,PRJNA705960,prjna705960:samn18106831,SAMN18106831,archive_project_sample_accession_anchor,archive_native,final,,Neolithic to later Galician cattle sequence,project_context_interval,archaeological_context_date,contextual_interval,adna/governance/source_library/projects/PRJNA705960/archive_metadata.html,archive_metadata_description,source description snapshot,"We sampled 18 cattle subfossils from different ages and different mountain caves in Galicia, of which 11 were subject to sequencing of the mitochondrial genome and phylogenetic analysis.",normalized_interval,1500,7000,4250,archaeological_period_assignment,,Chronology falls back to the current project-level context row.
Bos taurus,cattle,PRJNA705960,prjna705960:samn18106832,SAMN18106832,archive_project_sample_accession_anchor,archive_native,final,,Neolithic to later Galician cattle sequence,project_context_interval,archaeological_context_date,contextual_interval,adna/governance/source_library/projects/PRJNA705960/archive_metadata.html,archive_metadata_description,source description snapshot,"We sampled 18 cattle subfossils from different ages and different mountain caves in Galicia, of which 11 were subject to sequencing of the mitochondrial genome and phylogenetic analysis.",normalized_interval,1500,7000,4250,archaeological_period_assignment,,Chronology falls back to the current project-level context row.
Bos taurus,cattle,PRJNA705960,prjna705960:samn18106833,SAMN18106833,archive_project_sample_accession_anchor,archive_native,final,,Neolithic to later Galician cattle sequence,project_context_interval,archaeological_context_date,contextual_interval,adna/governance/source_library/projects/PRJNA705960/archive_metadata.html,archive_metadata_description,source description snapshot,"We sampled 18 cattle subfossils from different ages and different mountain caves in Galicia, of which 11 were subject to sequencing of the mitochondrial genome and phylogenetic analysis.",normalized_interval,1500,7000,4250,archaeological_period_assignment,,Chronology falls back to the current project-level context row.
Bos taurus,cattle,PRJNA705960,prjna705960:samn18106834,SAMN18106834,archive_project_sample_accession_anchor,archive_native,final,,Neolithic to later Galician cattle sequence,project_context_interval,archaeological_context_date,contextual_interval,adna/governance/source_library/projects/PRJNA705960/archive_metadata.html,archive_metadata_description,source description snapshot,"We sampled 18 cattle subfossils from different ages and different mountain caves in Galicia, of which 11 were subject to sequencing of the mitochondrial genome and phylogenetic analysis.",normalized_interval,1500,7000,4250,archaeological_period_assignment,,Chronology falls back to the current project-level context row.
Bos taurus,cattle,PRJNA705960,prjna705960:samn18106835,SAMN18106835,archive_project_sample_accession_anchor,archive_native,final,,Neolithic to later Galician cattle sequence,project_context_interval,archaeological_context_date,contextual_interval,adna/governance/source_library/projects/PRJNA705960/archive_metadata.html,archive_metadata_description,source description snapshot,"We sampled 18 cattle subfossils from different ages and different mountain caves in Galicia, of which 11 were subject to sequencing of the mitochondrial genome and phylogenetic analysis.",normalized_interval,1500,7000,4250,archaeological_period_assignment,,Chronology falls back to the current project-level context row.
Bos taurus,cattle,PRJNA705960,prjna705960:samn18106836,SAMN18106836,archive_project_sample_accession_anchor,archive_native,final,,Neolithic to later Galician cattle sequence,project_context_interval,archaeological_context_date,contextual_interval,adna/governance/source_library/projects/PRJNA705960/archive_metadata.html,archive_metadata_description,source description snapshot,"We sampled 18 cattle subfossils from different ages and different mountain caves in Galicia, of which 11 were subject to sequencing of the mitochondrial genome and phylogenetic analysis.",normalized_interval,1500,7000,4250,archaeological_period_assignment,,Chronology falls back to the current project-level context row.
